subj,events,event_duration,recall,arousal_llm,arousal_discrete,Eg_movie,movie_vis_mot,movie_vis_attn,movie_vis_sal,movie_vis_lim,movie_vis_cont,movie_vis_dmn,movie_vis_sub,movie_mot_attn,movie_mot_sal,movie_mot_lim,movie_mot_cont,movie_mot_dmn,movie_mot_sub,movie_attn_sal,movie_attn_lim,movie_attn_cont,movie_attn_dmn,movie_attn_sub,movie_sal_lim,movie_sal_cont,movie_sal_dmn,movie_sal_sub,movie_lim_cont,movie_lim_dmn,movie_lim_sub,movie_cont_dmn,movie_cont_sub,movie_dmn_sub,movie_attn_attn,movie_cont_cont,movie_dmn_dmn,movie_lim_lim,movie_mot_mot,movie_sal_sal,movie_sub_sub,movie_vis_vis,PC_movie_avg,movie_hippocampus_Melbourne,movie_amygdala_Melbourne,movie_hipa_Melbourne,movie_hippocampus_ISC,movie_amygdala_ISC,recall_accuracy,luminance,envelope
1,1,46,1,0.878736401,-0.615930854,0.483896067,0.318965517,0.520557029,0.350026123,0.376436782,0.513122605,0.437968516,0.382543103,0.533424908,0.657186147,0.458928571,0.417777778,0.434886128,0.458035714,0.528117716,0.457638889,0.536217949,0.477564103,0.416145833,0.463194444,0.440429293,0.466254941,0.4453125,0.475462963,0.479770531,0.3796875,0.52397343,0.3834375,0.382019928,0.553994083,0.589814815,0.50078765,0.472222222,0.775238095,0.616735537,0.436588542,0.797066984,0.350110647,-0.025157909,0.137132929,0.741700275,0.223921676,-0.03154231,0.424553901,0.264336617,0.096760891
1,2,20,0,-0.24035459,-1.039128763,0.501444157,0.395402299,0.533709107,0.440569488,0.524664751,0.454980843,0.462581209,0.418642241,0.553663004,0.593722944,0.379563492,0.493650794,0.480175983,0.481994048,0.530594406,0.483440171,0.522222222,0.505434783,0.439503205,0.410984848,0.454292929,0.476778656,0.53125,0.454861111,0.521890097,0.463107639,0.505857488,0.382465278,0.483469203,0.573964497,0.538333333,0.542564587,0.518518519,0.706666667,0.566115702,0.57421875,0.692429647,0.345447883,0.122134114,0.546696696,0.586102198,0.477932584,0.392403161,0,0.413876398,0.067215688
1,3,16,1,-0.35664723,0.004297986,0.481536032,0.444499179,0.389500442,0.40530303,0.393773946,0.367816092,0.363905547,0.369324713,0.462893773,0.496277056,0.465873016,0.401698413,0.440910973,0.454196429,0.492540793,0.508119658,0.516346154,0.533765329,0.460376603,0.492550505,0.497474747,0.495965086,0.497301136,0.522685185,0.533756039,0.420746528,0.600990338,0.476979167,0.471875,0.498619329,0.616851852,0.60631695,0.489583333,0.531020408,0.510055096,0.480598958,0.638406659,0.296637062,0.198523685,0.258428155,0.593926912,0.38180079,-0.0752431,0.159301683,0.294738117,0.127306478
1,4,27,0,-0.731481929,-0.71842251,0.491492248,0.406978654,0.459991158,0.415882968,0.404693487,0.460153257,0.519177911,0.415481322,0.535164835,0.629004329,0.411507937,0.465873016,0.389182195,0.45922619,0.538461538,0.485844017,0.476175214,0.516861761,0.433293269,0.447916667,0.481313131,0.434617918,0.513731061,0.399074074,0.508001208,0.468315972,0.503743961,0.397048611,0.44701087,0.560897436,0.468148148,0.672337744,0.46412037,0.706666667,0.621212121,0.513671875,0.558660325,0.317419805,-0.138957401,-0.436540289,0.605064236,0.147520476,0.012691054,0,0.332423987,0.034207315
1,5,55,1,0.363555067,0.723053004,0.48717126,0.5091133,0.44617595,0.451671891,0.323371648,0.353544061,0.388055972,0.379489943,0.557509158,0.597402597,0.327380952,0.371190476,0.369824017,0.408482143,0.514568765,0.412393162,0.518482906,0.471780936,0.408453526,0.406881313,0.450883838,0.460227273,0.395359848,0.565740741,0.570954106,0.432725694,0.647222222,0.451388889,0.460484601,0.571499014,0.699814815,0.643982357,0.498842593,0.725170068,0.541322314,0.469401042,0.607411811,0.266308609,0.025257919,0.020433,0.920633973,0.089965273,-0.023808165,0.19555372,0.469696655,0.065152902
1,6,31,1,0.020918394,0.527658769,0.478981481,0.450574713,0.470490716,0.44422675,0.379454023,0.418965517,0.398488256,0.372413793,0.52014652,0.535497835,0.36484127,0.466460317,0.404989648,0.373988095,0.538170163,0.438461538,0.607905983,0.503832219,0.420072115,0.410795455,0.511616162,0.44161726,0.408712121,0.484259259,0.47071256,0.408940972,0.561461353,0.441215278,0.426992754,0.727317554,0.599259259,0.527961563,0.385648148,0.601904762,0.481404959,0.388802083,0.599286564,0.304169324,0.341945103,0.236088492,0.988826018,0.508248144,0.228860718,0.168330848,0.484037714,0.105636565
1,7,35,1,0.252006842,0.928039353,0.504668389,0.4363711,0.49137931,0.499869383,0.390708812,0.476532567,0.468578211,0.432112069,0.486263736,0.480627706,0.45781746,0.43468254,0.472463768,0.423809524,0.545745921,0.507478632,0.564316239,0.515746934,0.377804487,0.447916667,0.524242424,0.508646245,0.393702652,0.543287037,0.496135266,0.409114583,0.631642512,0.4046875,0.430638587,0.59270217,0.704444444,0.600031506,0.478472222,0.595238095,0.502410468,0.514973958,0.663099485,0.355648456,0.082625548,-0.034247855,1.004049135,0.409839348,0.101686974,0.153695762,0.430571078,0.147251606
1,8,14,1,-0.732021971,-1.244229866,0.47236793,0.484975369,0.442639257,0.414838036,0.502155172,0.407739464,0.467278861,0.476795977,0.451465201,0.492337662,0.443452381,0.374444444,0.443581781,0.44827381,0.478525641,0.465277778,0.511858974,0.475264771,0.443509615,0.383838384,0.417045455,0.420866271,0.382433712,0.503935185,0.530404589,0.535590278,0.53410628,0.4890625,0.506793478,0.50147929,0.602962963,0.509294266,0.539351852,0.545986395,0.456198347,0.486328125,0.50776853,0.328707019,-0.612535876,-0.347607524,0.741783856,-0.539939692,0.348147478,0.184782445,0.497689078,0.02072358
1,9,29,1,0.267461316,0.173036735,0.513479759,0.566748768,0.484637489,0.462643678,0.435584291,0.405842912,0.40892054,0.395114943,0.538369963,0.575757576,0.436706349,0.438174603,0.42815735,0.407738095,0.552738928,0.594818376,0.561645299,0.51330825,0.516626603,0.485164141,0.533207071,0.505187747,0.462357955,0.525694444,0.521890097,0.549913194,0.596195652,0.484375,0.488677536,0.640285996,0.598703704,0.569785759,0.5625,0.680544218,0.565426997,0.55078125,0.67875545,0.451479133,-0.056243987,0.082168062,0.956996994,-0.245507022,0.035176318,0.449124813,0.331554895,0.077727908
1,10,13,1,0.317078256,0.176137768,0.50093741,0.382019704,0.456012378,0.395898642,0.394061303,0.451628352,0.4732009,0.442349138,0.489835165,0.568939394,0.461111111,0.46531746,0.442391304,0.449404762,0.547785548,0.459668803,0.611324786,0.536928651,0.434094551,0.481691919,0.547727273,0.516386693,0.438683712,0.492222222,0.542844203,0.405381944,0.5727657,0.41875,0.425611413,0.599605523,0.593703704,0.574826717,0.501157407,0.602585034,0.558195592,0.372005208,0.722552517,0.354183824,0.416672318,-0.205368694,0.481483159,0.058522131,-0.415725789,0.464441925,0.333877218,0.091602954
