subj,events,event_duration,recall,arousal_llm,arousal_discrete,Eg_movie,movie_vis_mot,movie_vis_attn,movie_vis_sal,movie_vis_lim,movie_vis_cont,movie_vis_dmn,movie_vis_sub,movie_mot_attn,movie_mot_sal,movie_mot_lim,movie_mot_cont,movie_mot_dmn,movie_mot_sub,movie_attn_sal,movie_attn_lim,movie_attn_cont,movie_attn_dmn,movie_attn_sub,movie_sal_lim,movie_sal_cont,movie_sal_dmn,movie_sal_sub,movie_lim_cont,movie_lim_dmn,movie_lim_sub,movie_cont_dmn,movie_cont_sub,movie_dmn_sub,movie_attn_attn,movie_cont_cont,movie_dmn_dmn,movie_lim_lim,movie_mot_mot,movie_sal_sal,movie_sub_sub,movie_vis_vis,PC_movie_avg,movie_hippocampus_Melbourne,movie_amygdala_Melbourne,movie_hipa_Melbourne,movie_hippocampus_ISC,movie_amygdala_ISC,recall_accuracy,luminance,envelope
1,2,9,1,1.005742241,1.708139421,0.495513925,0.390394089,0.418766578,0.392110763,0.441570881,0.411494253,0.476886557,0.461386494,0.548992674,0.571320346,0.402777778,0.571904762,0.521221532,0.49514881,0.585227273,0.371794872,0.597435897,0.468506132,0.423958333,0.382891414,0.553838384,0.498418972,0.438162879,0.393842593,0.445652174,0.442274306,0.482246377,0.453958333,0.460484601,0.638067061,0.524259259,0.541430372,0.421296296,0.664217687,0.565082645,0.461588542,0.535077289,0.377280404,-0.673921543,-1.387492633,1.070352212,0.335517761,-0.084292696,0.364301888,0.578400363,0.139661845
1,3,20,1,-0.126171498,0.13670963,0.504084123,0.441954023,0.478779841,0.445010449,0.539272031,0.450095785,0.510182409,0.432471264,0.605494505,0.686363636,0.406746032,0.485238095,0.421325052,0.471130952,0.614073427,0.439903846,0.477564103,0.449972129,0.4296875,0.406881313,0.492045455,0.420289855,0.469460227,0.475,0.559178744,0.524739583,0.512198068,0.460590278,0.481431159,0.612919132,0.480925926,0.56710775,0.62962963,0.683945578,0.665977961,0.466145833,0.658343242,0.368970389,-0.222164603,-0.291594133,0.788015719,-0.277308549,-0.220351714,0.089393975,0.064344569,0.016186491
1,4,31,0,-0.787256476,-1.110419908,0.526715475,0.45320197,0.57183908,0.504179728,0.528735632,0.51743295,0.563530735,0.419360632,0.50540293,0.551839827,0.512301587,0.429206349,0.466666667,0.491220238,0.52782634,0.507745726,0.593589744,0.533862876,0.435096154,0.539141414,0.500757576,0.514163373,0.484611742,0.5125,0.547403382,0.509114583,0.576570048,0.437673611,0.454030797,0.612426036,0.652222222,0.60215816,0.615740741,0.57047619,0.573002755,0.576822917,0.67816092,0.456608685,0.115064827,0.250042072,0.499356585,0.050345975,0.159502591,0,0.134138268,0.016861729
1,5,22,1,-1.005277186,-1.057415538,0.509847832,0.383743842,0.561339523,0.494905956,0.364224138,0.527777778,0.488630685,0.373204023,0.449725275,0.514393939,0.512698413,0.411349206,0.49689441,0.573809524,0.484848485,0.387286325,0.569017094,0.474568004,0.397235577,0.446022727,0.523989899,0.531126482,0.488636364,0.432407407,0.474486715,0.534288194,0.540338164,0.430729167,0.535552536,0.581114398,0.614814815,0.608774417,0.532407407,0.715918367,0.539944904,0.604166667,0.73404677,0.448874195,0.408919636,0.415776901,0.862935744,-0.033596582,0.146495311,0.242172985,0.2082002,0.027742058
1,6,21,0,0.580089641,-0.181037849,0.504354005,0.517569787,0.4122458,0.463427377,0.51197318,0.43467433,0.544852574,0.525862069,0.488278388,0.6504329,0.466269841,0.445793651,0.460662526,0.476785714,0.505681818,0.378258547,0.506944444,0.439632107,0.398197115,0.45864899,0.451641414,0.432427536,0.468039773,0.455324074,0.514492754,0.513020833,0.551388889,0.449826389,0.489741848,0.511094675,0.557037037,0.61357908,0.565972222,0.651972789,0.669421488,0.48359375,0.709671027,0.363229822,0.136765159,-0.134472933,0.740256901,0.705219422,0.076510979,0,0.31828544,0.132971642
1,7,12,0,-0.77159079,-0.987377896,0.485330175,0.389458128,0.422900088,0.372100313,0.436781609,0.445747126,0.542103948,0.40621408,0.54496337,0.655735931,0.456349206,0.435365079,0.501345756,0.487589286,0.545250583,0.401655983,0.494978632,0.465523969,0.417748397,0.451073232,0.468737374,0.480237154,0.469744318,0.376064815,0.445108696,0.414670139,0.444504831,0.405902778,0.458922101,0.552514793,0.466111111,0.554662886,0.423611111,0.696054422,0.616391185,0.398046875,0.608481966,0.364339144,-0.526283058,-0.383653731,0.620428081,0.686034651,0.603328794,0,0.493729654,0.045781509
1,8,13,1,0.687077836,0.967992504,0.509783233,0.503940887,0.482979664,0.486938349,0.494492337,0.475766284,0.509370315,0.448635057,0.505769231,0.567748918,0.49265873,0.471190476,0.510921325,0.48422619,0.454545455,0.533386752,0.532905983,0.496516165,0.423277244,0.501262626,0.44520202,0.483613307,0.507339015,0.550231481,0.499245169,0.500868056,0.548611111,0.467361111,0.486186594,0.607495069,0.579444444,0.557183365,0.662037037,0.589115646,0.538567493,0.482421875,0.506341657,0.45506247,0.138067549,0.559293401,0.465292224,-0.205273507,-0.260784503,0.339443601,0.472559619,0.148495316
1,9,15,0,-0.485336021,0.317609932,0.502490669,0.417898194,0.45678603,0.45545977,0.411398467,0.468678161,0.438155922,0.426903736,0.647710623,0.622186147,0.470833333,0.45484127,0.480486542,0.449255952,0.599941725,0.455128205,0.478952991,0.469620959,0.450721154,0.490530303,0.467171717,0.478013834,0.45217803,0.460416667,0.471618357,0.459201389,0.557487923,0.476909722,0.4921875,0.606755424,0.586111111,0.527173913,0.478009259,0.683537415,0.558195592,0.522135417,0.621086009,0.296523799,-0.911225202,-0.580079333,1.467217511,-0.315409177,0.060681405,0,0.266841287,0.061365901
1,10,19,0,-0.853588613,-0.421266194,0.509837066,0.452052545,0.483311229,0.490334378,0.454262452,0.454118774,0.501124438,0.423491379,0.493498168,0.556168831,0.469047619,0.476349206,0.512888199,0.44389881,0.505244755,0.389155983,0.510790598,0.46516165,0.442307692,0.482638889,0.513510101,0.557394598,0.451467803,0.454166667,0.519172705,0.547309028,0.576570048,0.532291667,0.503736413,0.598619329,0.66,0.607435413,0.574074074,0.567482993,0.528581267,0.509765625,0.465319065,0.445684477,0.364900171,-0.155609243,0.929880156,0.220710304,-0.046097081,0,0.174426196,0.0722373
1,11,10,0,0.834823993,0.810083087,0.494112116,0.455747126,0.502320955,0.460684431,0.45282567,0.457758621,0.449087956,0.425,0.518406593,0.601623377,0.460912698,0.536269841,0.474534161,0.448511905,0.594551282,0.349626068,0.522435897,0.397505574,0.373197115,0.445707071,0.564646465,0.448534256,0.441524621,0.509027778,0.576539855,0.586805556,0.487016908,0.466145833,0.458559783,0.65729783,0.52462963,0.541430372,0.699074074,0.57047619,0.605371901,0.484375,0.488109394,0.360548665,0.482354727,0.334399564,0.697712096,-0.066279816,-0.18146792,0,0.246484366,0.104330023
